Order_ID,Customer_Name,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_%,Sales_Amount,Order_Date,City,Segment,Profit
1000,Brian Thompson,Jeans,Slim Fit Jeans,1,842,0.6,336.8,27-02-2025,Delhi,B2C,2137.45
1001,Shaun Ross,Jeans,Slim Fit Jeans,1,2685.985,0,2685.985,15-07-2025,Ahmedabad,Unknown,1588.15
1002,Sarah Snyder,Jackets,Puffer Coat,1,637.82,0,637.82,02-01-2025,Mumbai,B2B,-158.03
1003,Jay Briggs,Shoes,Loafers,2,2962.27,0,5924.54,18-06-2025,Bangalore,B2B,2296.5
1004,Maria Blake,Accessories,Belts,1,2881.07,0.27,2103.1811,18-06-2025,Hyderabad,Unknown,63.66
1005,Samuel Miller,T-Shirts,Crop Top,1,2685.985,0,2685.985,05-12-2023,Mumbai,B2B,1477.73
1006,John Mclean,Jeans,Boyfriend Jeans,1,2060.85,0,2060.85,02-04-2024,Ahmedabad,B2B,198.36
1007,Dr. Kathryn Bass PhD,Dresses,Casual Midi,1,3669.56,0,3669.56,02-04-2024,Bangalore,B2C,2490.01
1008,Marie Fisher,Accessories,Sunglasses,1,2685.985,0,2685.985,02-04-2024,Ahmedabad,B2C,-886.8
1009,Dale Perry,T-Shirts,Oversized T-shirt,5,2685.985,0,13429.925,20-07-2025,Bangalore,B2B,-972.73
1010,Oscar Turner,T-Shirts,Crop Top,0,4007.02,0,0,20-07-2025,Pune,B2B,-950.38
1011,Jacob Sanchez,Accessories,Belts,0,2685.985,0,0,27-05-2025,Delhi,B2C,1370.67
1012,Valerie Hampton,Jeans,Straight Cut,4,2685.985,0.21,8487.7126,22-08-2024,Ahmedabad,Unknown,843.61
1013,James Delgado,T-Shirts,Crop Top,1,2685.985,0.62,1020.6743,22-08-2024,Pune,B2C,1279.58
1014,Richard Hood,Shoes,Loafers,4,2685.985,0,10743.94,21-09-2024,Hyderabad,Unknown,-889.25
1015,Julie Fox,Shoes,Sneakers,6,2685.985,0,16115.91,21-09-2024,Ahmedabad,Unknown,793.8
1016,Valerie Garner,T-Shirts,Crop Top,1,2685.985,0,2685.985,26-10-2024,Hyderabad,B2B,1881.89
1017,Alejandro Johnson,T-Shirts,Oversized T-shirt,3,468.53,0,1405.59,26-10-2024,Mumbai,B2B,-195.65
1018,Andrew Washington,Dresses,Maxi Dress,4,2685.985,0,10743.94,13-04-2024,Bangalore,B2C,2102.56
1019,Mark Allison,Dresses,Casual Midi,1,4064.4,0.7,1219.32,22-10-2024,Ahmedabad,B2C,877.21
1020,Russell Eaton,Jeans,Boyfriend Jeans,1,2685.985,0,2685.985,19-03-2025,Pune,B2B,669.75
1021,Amber Bowman,Dresses,Wrap Dress,1,2685.985,0,2685.985,05-05-2024,Bangalore,B2B,-705.72
1031,Lauren Jensen,Dresses,Wrap Dress,1,1872.05,0.15,1591.2425,27-05-2025,Pune,B2C,-863.9
1023,David Arnold,Shoes,Slip-ons,1,2685.985,0,2685.985,27-05-2025,Mumbai,Unknown,-875.51
1024,Thomas Long,Jackets,Puffer Coat,-2,2685.985,1.19,1020.6743,19-02-2025,Delhi,B2B,491.1
1025,Christine Reed,Jeans,Straight Cut,4,4595.08,0,18380.32,18-07-2025,Bangalore,Unknown,330.82
1026,Colton Baxter,Accessories,Sunglasses,1,2685.985,0,2685.985,21-12-2024,Ahmedabad,B2B,-194.77
1027,Rebecca Dorsey,Accessories,Belts,1,2685.985,0,2685.985,21-12-2024,Hyderabad,B2B,1085.36
1028,Felicia Orozco,T-Shirts,Classic Tee,-2,2685.985,0,-5371.97,21-12-2024,Hyderabad,B2B,2060.03
1029,Terry Anderson,T-Shirts,Classic Tee,4,2685.985,0,10743.94,21-12-2024,Mumbai,Unknown,1737.92
1030,Brandi Jones,Dresses,Maxi Dress,3,1069.77,0,3209.31,03-09-2023,Hyderabad,B2C,1155.38
1031,William Williams,Dresses,Wrap Dress,4,2685.985,0,10743.94,31-01-2025,Bangalore,B2B,-960.24
1032,Kim Harris,Jeans,Boyfriend Jeans,1,2182.01,0,2182.01,25-01-2025,Delhi,Unknown,1377.61
1033,Jonathan Neal,Jeans,Straight Cut,1,2685.985,0,2685.985,13-11-2024,Hyderabad,B2B,903.69
1034,Nathan Stewart,Jackets,Puffer Coat,0,4449.36,0.94,0,13-07-2025,Delhi,B2B,-282.68
